공고번호,축종,품종,털색,성별,중성화_여부,특징,접수일시,구조사유,발생장소,공고기간,관할보호센터명,보호장소,전화번호,관할기관,담당자,연락처,특이사항,url,url2
경북-포항-2022-00606,개,믹스견,황,암컷,아니오,"피부병(옴) 상태심각,출산흔적 있음,경계심함 입질로 확인불가",2022-06-26,,경북 포항시 남구 대송면 장동홍계길220번길 11-8,2022-06-26 ~ 2022-07-06 ,영일동물플러스 ,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍)   ,054-262-8295 ,경상북도 포항시  ,이형석 ,054-270-3368, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706422_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706422.jpg
경북-포항-2022-00605,개,닥스훈트,황흑,수컷,아니오,"내장칩있음(연락안됨),깨끗하고 집나온듯함,작은닥스 훈훈하게 잘생긴 외모",2022-06-26,,경북 포항시 북구 흥해읍 흥해로 38,2022-06-26 ~ 2022-07-06 ,영일동물플러스 ,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍)   ,054-262-8295 ,경상북도 포항시  ,이형석 ,054-270-3368, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706489_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706489.jpg
전남-목포-2022-00551,개,진도견,호피색,수컷,아니오,"온순,누구나따름,가죽목줄에 로프연결됨",2022-06-26,,효성요양병원부근,2022-06-26 ~ 2022-07-06 ,목포시유기동물보호소 ,전라남도 무안군 삼향읍 석매길 36   ,010-9678-9966 ,전라남도 목포시  ,축산계 ,061-270-8693, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262006538_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262006538.jpg
전북-전주-2022-00778,개,믹스견,검정,수컷,아니오,온순함,2022-06-26,,삼천동 1가 305-14,2022-06-26 ~ 2022-07-05 ,박영재동물병원 ,전라북도 전주시 완산구 전주천서로 111 (서서학동)   ,063-284-7774 ,전라북도 전주시  ,김상찬 ,063-281-5049, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261606976_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261606976.jpg
충남-당진-2022-00282,개,포메라니안,검정색,수컷,예,"외장형 동물등록, 중성화, 피부병",2022-06-26,,당진시 신평면 신평119 인근 도로,2022-06-26 ~ 2022-07-05 ,당진시동물보호소 ,충청남도 당진시 고대면 연동로 30-6 (고대면)   ,041-356-8210 ,충청남도 당진시  ,당진시 ,041-350-4253, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261406243_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261406243.jpg
충남-아산-2022-00493,개,올드 잉글리쉬 쉽독,흰&회색,수컷,아니오,1068호(관리) 493호(공고) 털이 많이 엉켜있음,2022-06-26,,둔포면 이화동길 113번길 새터농원 안,2022-06-26 ~ 2022-07-05 ,아산시동물보호센터 ,충청남도 아산시 염치읍 충무로 295-9   ,041-533-3563 ,충청남도 아산시  ,이호석 ,041-537-3845, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262106628_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206262106628.jpg
충북-청주-2022-00695,개,시바,블랙탄,수컷,아니오,"순하고 미용이 되어있음 ,하늘색 가슴줄 착용 상태로 발견",2022-06-26,,오창과학단지 송대공원,2022-06-26 ~ 2022-07-06 ,반려동물보호센터 ,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면)   ,043-201-2298 ,충청북도 청주시  ,정동복 ,043-201-2296, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261806828_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261806828.jpg
충북-청주-2022-00694,개,보더 콜리,"흰, 갈",암컷,아니오,"칩 있음, 주인 반환 예정",2022-06-26,,잠두봉 공원 부근,2022-06-26 ~ 2022-07-06 ,반려동물보호센터 ,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면)   ,043-201-2298 ,충청북도 청주시  ,정동복 ,043-201-2296, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706597_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706597.jpg
충북-청주-2022-00690,개,믹스견,"흰색, 연갈색",수컷,아니오,"얼굴에 원숭이 라인이 있음, 4-5개월령 추정, 소심하고 얌전한 아이, 진드기약 처치",2022-06-26,,수산1구 마을회관 인근,2022-06-26 ~ 2022-07-06 ,반려동물보호센터 ,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면)   ,043-201-2298 ,충청북도 청주시  ,정동복 ,043-201-2296, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706234_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261706234.jpg
충북-청주-2022-00689,개,믹스견,흰색,수컷,아니오,"털이 조금 길고, 귀가 약간 갈색인 아이, 소심하고 얌전한 성격, 진드기약 처치",2022-06-26,,수산1구 마을회관 인근,2022-06-26 ~ 2022-07-06 ,반려동물보호센터 ,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면)   ,043-201-2298 ,충청북도 청주시  ,정동복 ,043-201-2296, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/20220626170659_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/20220626170659.jpg
충북-청주-2022-00688,개,시츄,흰갈색,암컷,미상,"몸에서 샴푸냄새가 나는 시츄아이, 미용이 되어있고 부정교합이 심하고 얌전한 아이",2022-06-26,,산남동 계룡리슈빌 APT 부근,2022-06-26 ~ 2022-07-06 ,반려동물보호센터 ,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면)   ,043-201-2298 ,충청북도 청주시  ,정동복 ,043-201-2296, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261206344_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261206344.jpeg
충북-괴산-2022-00154,개,믹스견,"흰색, 갈색",암컷,아니오,온순하며 건강하다.,2022-06-26,민원인의 신고,괴산군 연풍면 한지박물관 인근,2022-06-26 ~ 2022-07-06 ,괴산증평동물보호센터 ,충청북도 증평군 도안면 입장길 239 (도안면)   ,010-3169-1151 ,충청북도 괴산군  ,우다현 ,043-830-3233, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206150_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206150.jpg
강원-강릉-2022-00346,개,믹스견,갈색,암컷,아니오,"목줄없이 발견, 온순함, 복슬복슬 귀여운 외모의 댕댕이",2022-06-26,민원접수,왕산 큰골길 도로,2022-06-26 ~ 2022-07-06 ,강릉시 동물사랑센터 ,강원도 강릉시 성산면 내맬길 172   ,033-641-7515 ,강원도 강릉시  ,동물정책과 ,033-640-5587, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261306366_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261306366.jpg
경기-남양주-2022-00714,개,믹스견,호피무늬,암컷,미상,동물의 공격을 받아서 많이아픔.,2022-06-26,,진건읍,2022-06-26 ~ 2022-07-06 ,남양주동물보호협회 ,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩)  1층 ",031-591-7270 ,경기도 남양주시  ,남양주시 ,031-590-3991, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/20220626170686_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/20220626170686.jpg
경기-부천-2022-00363,개,믹스견,"갈,검",암컷,미상,"순함,사람잘따름,녹색목줄과리드줄함께발견,심장사상충양성",2022-06-26,"울타리에 줄이 묶인 채 오전부터 방치되어 시민이 신고,내동지구대로 인계",삼정복지회관,2022-06-26 ~ 2022-07-06 ,24시아이동물메디컬 ,경기도 부천시 오정구 원종동  229-8 ,032-677-5262 ,경기도 부천시  ,부천시 ,032-625-2803, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206260906256_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206260906256.jpg
광주-광산-2022-00332,개,말티즈,흰,암컷,미상,22-0642,2022-06-26,,광산구 신창동,2022-06-26 ~ 2022-07-06 ,광주 동물보호소 ,광주광역시 북구 본촌마을길 27 (본촌동)  광주공역시 동물보호소 ,062-571-2808 ,광주광역시 광산구  ,광산구 ,062-571-2808, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261306409_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261306409.jpg
경남-창녕-2022-00484,개,믹스견,검정,수컷,아니오,보호자 현재 없음,2022-06-25,,계성면 사리,2022-06-26 ~ 2022-07-06 ,창녕 유기동물보호소 ,경상남도 창녕군 고암면 창밀로 335-26 (고암면)  고암면 억만리 28 ,010-5488-5003 ,경상남도 창녕군  ,창녕군 ,055-530-6103, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206260906300_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206260906300.jpg
경남-거제-2022-00561,개,믹스견,연갈색,수컷,미상,"혓바닥 약간보라색,다리짧음.순한편",2022-06-25,유기견발생,남부면 저구 카페비제이,2022-06-26 ~ 2022-07-06 ,거제시유기동물보호소 ,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장)  거제시유기동물보호소 ",055-639-6368 ,경상남도 거제시  ,김부근 ,055-639-6366, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106218[1]_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261106218[1].jpg
경북-영주-2022-00175,개,믹스견,검정색,수컷,아니오,"사나움,동네 개를 뭄,외상",2022-06-25,유기견,장수면 장안로 418,2022-06-26 ~ 2022-07-06 ,영주시 동물보호센터 ,경상북도 영주시 문수면 반구로324번길 135 (문수면)  장수면 반구리 407-8 ,010-6682-1185 ,경상북도 영주시  ,영주시 ,054-639-7592, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261406494_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261406494.jpg
경북-영주-2022-00174,개,믹스견,연갈색,암컷,아니오,온순함,2022-06-25,유기견,영주시 분수대 부근,2022-06-26 ~ 2022-07-06 ,영주시 동물보호센터 ,경상북도 영주시 문수면 반구로324번길 135 (문수면)  장수면 반구리 407-8 ,010-6682-1185 ,경상북도 영주시  ,영주시 ,054-639-7592, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261406442_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261406442.jpg
전남-여수-2022-00369,개,믹스견,아이보리색,암컷,아니오,검정색 하네스 착용. 관리 상태 양호. 사람을 잘 따름.,2022-06-25,유견 보호,신동아 아파트 단지 내,2022-06-26 ~ 2022-07-06 ,유기동물보호소 ,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터)  여수시 유기동물보호소 ",061-659-4429 ,전라남도 여수시  ,축산정책팀 ,061-659-4429, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261506624_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261506624.jpg
전남-여수-2022-00368,개,믹스견,흰검색,수컷,아니오,"온순함. 파란색 목띠 , 쇠줄 달린 상태 발견. 관리상태 양호",2022-06-25,유기견 보호,부영7차,2022-06-26 ~ 2022-07-06 ,유기동물보호소 ,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터)  여수시 유기동물보호소 ",061-659-4429 ,전라남도 여수시  ,축산정책팀 ,061-659-4429, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261506773_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261506773.jpg
전북-군산-2022-00580,개,믹스견,화이트,암컷,아니오,생후 6개월 추정,2022-06-25,,수림로 81,2022-06-26 ~ 2022-07-11 ,군산유기동물보호센터 ,전라북도 군산시 대야면 보덕안정길 108-20   ,063-451-2975 ,전라북도 군산시  ,홍지수 ,063-454-5913, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261706328_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261706328.jpg
전북-군산-2022-00579,개,믹스견,갈색,암컷,아니오,생후 6개월 추정,2022-06-25,,수림로 81,2022-06-26 ~ 2022-07-11 ,군산유기동물보호센터 ,전라북도 군산시 대야면 보덕안정길 108-20   ,063-451-2975 ,전라북도 군산시  ,홍지수 ,063-454-5913, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261706160_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261706160.jpg
전북-군산-2022-00578,개,믹스견,옅은베이지,수컷,아니오,생후 6개월 추정,2022-06-25,,수림로 81,2022-06-26 ~ 2022-07-11 ,군산유기동물보호센터 ,전라북도 군산시 대야면 보덕안정길 108-20   ,063-451-2975 ,전라북도 군산시  ,홍지수 ,063-454-5913, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261706789_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261706789.jpg
전북-군산-2022-00577,개,믹스견,갈/흰,암컷,아니오,새끼들과 함께 구조됨,2022-06-25,,대야면 수림로 81,2022-06-26 ~ 2022-07-11 ,군산유기동물보호센터 ,전라북도 군산시 대야면 보덕안정길 108-20   ,063-451-2975 ,전라북도 군산시  ,홍지수 ,063-454-5913, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261706379[1]_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206261706379[1].jpg
충북-괴산-2022-00157,개,믹스견,"검정, 길색",수컷,아니오,온순하고 건강하다.,2022-06-25,민원인의 신고,괴산군 연풍면 한지박물관 인근,2022-06-26 ~ 2022-07-06 ,괴산증평동물보호센터 ,충청북도 증평군 도안면 입장길 239 (도안면)   ,010-3169-1151 ,충청북도 괴산군  ,우다현 ,043-830-3233, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206948_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206948.jpg
충북-괴산-2022-00156,개,믹스견,갈색,수컷,아니오,온순하나 심장사상충 감염상태로 분양시 자세한 설명 요함.,2022-06-25,,괴산군 연풍면 한지박물관 인근,2022-06-26 ~ 2022-07-06 ,괴산증평동물보호센터 ,충청북도 증평군 도안면 입장길 239 (도안면)   ,010-3169-1151 ,충청북도 괴산군  ,우다현 ,043-830-3233, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206385_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206385.jpg
충북-괴산-2022-00155,개,믹스견,"검정, 갈색",수컷,아니오,온순하며 건강하다.,2022-06-25,민원인의 신고,괴산군 연풍면 한지박물관 인근,2022-06-26 ~ 2022-07-06 ,괴산증평동물보호센터 ,충청북도 증평군 도안면 입장길 239 (도안면)   ,010-3169-1151 ,충청북도 괴산군  ,우다현 ,043-830-3233, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206679_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206679.jpg
충북-괴산-2022-00153,개,믹스견,"검정, 갈색",암컷,아니오,온순하고 건강하다.,2022-06-25,민원인의 신고,괴산군 연풍면 한지박물관 인근,2022-06-26 ~ 2022-07-06 ,괴산증평동물보호센터 ,충청북도 증평군 도안면 입장길 239 (도안면)   ,010-3169-1151 ,충청북도 괴산군  ,우다현 ,043-830-3233, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206551_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206261206551.jpg
경남-거창-2022-00203,개,믹스견,"흰색, 갈색",수컷,아니오,경계,2022-06-25,신고,거창읍 송정리 마동마을,2022-06-25 ~ 2022-07-05 ,거창유기동물보호센터 ,경상남도 거창군 남상면 수남로 1934-12   ,010-4541-7931 ,경상남도 거창군  ,거창군 ,055-940-8140, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206251506383_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206251506383.jpg
경남-함양-2022-00117,개,진도견,흰색,수컷,아니오,"진도견 종류 추정, 약 4살정도 추정, 약 20kg 정도 추정, 주인이 있는 것으로 추정",2022-06-25,유기견,수동면,2022-06-25 ~ 2022-07-05 ,함양군위탁보호소 ,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터)   ",055-960-8143 ,경상남도 함양군  , ,055-960-8140, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206251706870_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206251706870.jpeg
경남-진주-2022-00378,개,믹스견,갈색+검정색,암컷,아니오,"경계심많음,목상처",2022-06-25,,진주시 내동면 유수리,2022-06-25 ~ 2022-07-05 ,진주시유기동물보호소 ,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설)   ",055-749-6134 ,경상남도 진주시  ,진주시청 ,055-749-6204, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206251706367_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/04/202206251706367.jpg
경남-진주-2022-00377,개,믹스견,흰색+갈색,수컷,아니오,순함 사람 잘 따름,2022-06-25,,진주시 충무공동 LH1단지,2022-06-25 ~ 2022-07-05 ,진주시유기동물보호소 ,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설)   ",055-749-6134 ,경상남도 진주시  ,진주시청 ,055-749-6204, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206251306329_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206251306329.jpg
경북-구미-2022-00404,개,진도견,흰색,암컷,아니오,온순함 털갈이중,2022-06-25,,해평119 안전센타,2022-06-25 ~ 2022-07-07 ,구미시 동물보호센터 ,경상북도 구미시 해평면 낙동대로 2206   ,054-471-5718 ,경상북도 구미시  ,김휘주 ,054-480-5842, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206251606187_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206251606187.jpg
전남-함평-2022-00195,개,골든 리트리버,흰색,수컷,미상,순함,2022-06-25,,대동면 주평길 16,2022-06-25 ~ 2022-07-11 ,학교동물임시보호센터 ,전라남도 함평군 학교면 송산길 84 (학교면)  월산리 806-1  ,010-5649-3435 ,전라남도 함평군  ,함평군 ,061-320-1936, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/20220625160623_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/20220625160623.jpg
전남-목포-2022-00545,개,진도견,흰색,수컷,아니오,"가죽목줄과 끊어진쇠줄달림,온순하고 비만",2022-06-25,,비파2차@부근,2022-06-25 ~ 2022-07-05 ,목포시유기동물보호소 ,전라남도 무안군 삼향읍 석매길 36   ,010-9678-9966 ,전라남도 목포시  ,축산계 ,061-270-8693, ,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206252006690_s.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2022/06/202206252006690.jpg
